Designator;Value;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED66;KPT-2012SRC-PRV;0805_LED;11.7647;70.5882;45;TopLayer
LED65;KPT-2012SRC-PRV;0805_LED;5.8824;70.5882;45;TopLayer
LED64;KPT-2012SRC-PRV;0805_LED;94.1177;76.4706;45;TopLayer
LED63;KPT-2012SRC-PRV;0805_LED;88.2353;76.4706;45;TopLayer
LED62;KPT-2012SRC-PRV;0805_LED;82.3529;76.4706;45;TopLayer
LED61;KPT-2012SRC-PRV;0805_LED;76.4706;76.4706;45;TopLayer
LED60;KPT-2012SRC-PRV;0805_LED;70.5882;76.4706;45;TopLayer
LED59;KPT-2012SRC-PRV;0805_LED;64.7059;76.4706;45;TopLayer
LED58;KPT-2012SRC-PRV;0805_LED;58.8235;76.4706;45;TopLayer
LED57;KPT-2012SRC-PRV;0805_LED;52.9412;76.4706;45;TopLayer
LED56;KPT-2012SRC-PRV;0805_LED;47.0588;76.4706;45;TopLayer
LED55;KPT-2012SRC-PRV;0805_LED;41.1765;76.4706;45;TopLayer
LED54;KPT-2012SRC-PRV;0805_LED;35.2941;76.4706;45;TopLayer
LED53;KPT-2012SRC-PRV;0805_LED;29.4118;76.4706;45;TopLayer
LED52;KPT-2012SRC-PRV;0805_LED;23.5294;76.4706;45;TopLayer
LED51;KPT-2012SRC-PRV;0805_LED;17.6471;76.4706;45;TopLayer
LED50;KPT-2012SRC-PRV;0805_LED;11.7647;76.4706;45;TopLayer
LED49;KPT-2012SRC-PRV;0805_LED;5.8824;76.4706;45;TopLayer
LED48;KPT-2012SRC-PRV;0805_LED;94.1177;82.3529;45;TopLayer
LED47;KPT-2012SRC-PRV;0805_LED;88.2353;82.3529;45;TopLayer
LED46;KPT-2012SRC-PRV;0805_LED;82.3529;82.3529;45;TopLayer
LED45;KPT-2012SRC-PRV;0805_LED;76.4706;82.3529;45;TopLayer
LED44;KPT-2012SRC-PRV;0805_LED;70.5882;82.3529;45;TopLayer
LED43;KPT-2012SRC-PRV;0805_LED;64.7059;82.3529;45;TopLayer
LED42;KPT-2012SRC-PRV;0805_LED;58.8235;82.3529;45;TopLayer
LED41;KPT-2012SRC-PRV;0805_LED;52.9412;82.3529;45;TopLayer
LED40;KPT-2012SRC-PRV;0805_LED;47.0588;82.3529;45;TopLayer
LED39;KPT-2012SRC-PRV;0805_LED;41.1765;82.3529;45;TopLayer
LED38;KPT-2012SRC-PRV;0805_LED;35.2941;82.3529;45;TopLayer
LED37;KPT-2012SRC-PRV;0805_LED;29.4118;82.3529;45;TopLayer
LED36;KPT-2012SRC-PRV;0805_LED;23.5294;82.3529;45;TopLayer
LED35;KPT-2012SRC-PRV;0805_LED;17.6471;82.3529;45;TopLayer
LED34;KPT-2012SRC-PRV;0805_LED;11.7647;82.3529;45;TopLayer
LED33;KPT-2012SRC-PRV;0805_LED;5.8824;82.3529;45;TopLayer
LED32;KPT-2012SRC-PRV;0805_LED;94.1177;88.2353;45;TopLayer
LED31;KPT-2012SRC-PRV;0805_LED;88.2353;88.2353;45;TopLayer
LED30;KPT-2012SRC-PRV;0805_LED;82.3529;88.2353;45;TopLayer
LED29;KPT-2012SRC-PRV;0805_LED;76.4706;88.2353;45;TopLayer
LED28;KPT-2012SRC-PRV;0805_LED;70.5882;88.2353;45;TopLayer
LED27;KPT-2012SRC-PRV;0805_LED;64.7059;88.2353;45;TopLayer
LED26;KPT-2012SRC-PRV;0805_LED;58.8235;88.2353;45;TopLayer
LED25;KPT-2012SRC-PRV;0805_LED;52.9412;88.2353;45;TopLayer
LED24;KPT-2012SRC-PRV;0805_LED;47.0588;88.2353;45;TopLayer
LED23;KPT-2012SRC-PRV;0805_LED;41.1765;88.2353;45;TopLayer
LED22;KPT-2012SRC-PRV;0805_LED;35.2941;88.2353;45;TopLayer
LED21;KPT-2012SRC-PRV;0805_LED;29.4118;88.2353;45;TopLayer
LED20;KPT-2012SRC-PRV;0805_LED;23.5294;88.2353;45;TopLayer
LED19;KPT-2012SRC-PRV;0805_LED;17.6471;88.2353;45;TopLayer
LED18;KPT-2012SRC-PRV;0805_LED;11.7647;88.2353;45;TopLayer
LED17;KPT-2012SRC-PRV;0805_LED;5.8824;88.2353;45;TopLayer
LED16;KPT-2012SRC-PRV;0805_LED;94.1177;94.1177;45;TopLayer
LED15;KPT-2012SRC-PRV;0805_LED;88.2353;94.1177;45;TopLayer
LED14;KPT-2012SRC-PRV;0805_LED;82.3529;94.1177;45;TopLayer
LED13;KPT-2012SRC-PRV;0805_LED;76.4706;94.1177;45;TopLayer
LED12;KPT-2012SRC-PRV;0805_LED;70.5882;94.1177;45;TopLayer
LED11;KPT-2012SRC-PRV;0805_LED;64.7059;94.1177;45;TopLayer
LED10;KPT-2012SRC-PRV;0805_LED;58.8235;94.1177;45;TopLayer
LED9;KPT-2012SRC-PRV;0805_LED;52.9412;94.1177;45;TopLayer
LED8;KPT-2012SRC-PRV;0805_LED;47.0588;94.1177;45;TopLayer
LED7;KPT-2012SRC-PRV;0805_LED;41.1765;94.1177;45;TopLayer
LED6;KPT-2012SRC-PRV;0805_LED;35.2941;94.1177;45;TopLayer
LED5;KPT-2012SRC-PRV;0805_LED;29.4118;94.1177;45;TopLayer
LED4;KPT-2012SRC-PRV;0805_LED;23.5294;94.1177;45;TopLayer
LED3;KPT-2012SRC-PRV;0805_LED;17.6471;94.1177;45;TopLayer
LED2;KPT-2012SRC-PRV;0805_LED;11.7647;94.1177;45;TopLayer
LED1;KPT-2012SRC-PRV;0805_LED;5.8824;94.1177;45;TopLayer
