Designator;Comment;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED106;KPT-2012SRC-PRV;0805_LED;66.3235;-26.1765;45;TopLayer
LED107;KPT-2012SRC-PRV;0805_LED;72.2059;-26.1765;45;TopLayer
LED108;KPT-2012SRC-PRV;0805_LED;78.0882;-26.1765;45;TopLayer
LED109;KPT-2012SRC-PRV;0805_LED;83.9706;-26.1765;45;TopLayer
LED110;KPT-2012SRC-PRV;0805_LED;89.8529;-26.1765;45;TopLayer
LED111;KPT-2012SRC-PRV;0805_LED;95.7353;-26.1765;45;TopLayer
LED112;KPT-2012SRC-PRV;0805_LED;101.6177;-26.1765;45;TopLayer
LED113;KPT-2012SRC-PRV;0805_LED;13.3824;-32.0588;45;TopLayer
LED114;KPT-2012SRC-PRV;0805_LED;19.2647;-32.0588;45;TopLayer
LED115;KPT-2012SRC-PRV;0805_LED;25.1471;-32.0588;45;TopLayer
LED116;KPT-2012SRC-PRV;0805_LED;31.0294;-32.0588;45;TopLayer
LED117;KPT-2012SRC-PRV;0805_LED;36.9118;-32.0588;45;TopLayer
LED118;KPT-2012SRC-PRV;0805_LED;42.7941;-32.0588;45;TopLayer
LED119;KPT-2012SRC-PRV;0805_LED;48.6765;-32.0588;45;TopLayer
LED120;KPT-2012SRC-PRV;0805_LED;54.5588;-32.0588;45;TopLayer
LED121;KPT-2012SRC-PRV;0805_LED;60.4412;-32.0588;45;TopLayer
LED122;KPT-2012SRC-PRV;0805_LED;66.3235;-32.0588;45;TopLayer
LED123;KPT-2012SRC-PRV;0805_LED;72.2059;-32.0588;45;TopLayer
LED124;KPT-2012SRC-PRV;0805_LED;78.0882;-32.0588;45;TopLayer
LED125;KPT-2012SRC-PRV;0805_LED;83.9706;-32.0588;45;TopLayer
LED126;KPT-2012SRC-PRV;0805_LED;89.8529;-32.0588;45;TopLayer
LED127;KPT-2012SRC-PRV;0805_LED;95.7353;-32.0588;45;TopLayer
LED128;KPT-2012SRC-PRV;0805_LED;101.6177;-32.0588;45;TopLayer
